,logFC,logCPM,F,PValue,FDR
Oas2,1.05374299,6.03028376,12.25907353,0.002310387,0.146802815
Xaf1,1.181260827,5.50913961,12.21515459,0.002343903,0.146802815
Ampd3,-1.12716695,5.613373315,12.18655312,0.00236602,0.146802815
Zfp131,-0.756817486,6.709004784,12.14385219,0.002399472,0.146802815
Pltp,0.465638508,9.696032767,12.12332211,0.002415743,0.146802815
Rcn3,1.057386286,6.212094724,12.11247496,0.002481809,0.149178329
Map2k3os,-1.258906361,5.001301336,11.88049761,0.002617765,0.15565848
Fabp3,1.018841974,6.399486506,11.98916353,0.00267721,0.156864588
Mcoln2,-0.924743553,6.093920757,11.79335815,0.00269478,0.156864588
Ier2,0.579939171,8.481371178,11.70464032,0.002775786,0.159896811
Trmt1,1.121908708,5.337809645,11.66478349,0.002813055,0.160373127
Samd9l,0.715730085,6.883996987,11.34077596,0.003137517,0.177045618
Tgif1,-0.703298068,6.833848501,11.2995394,0.003181714,0.177726071
Eea1,-0.583957502,7.74241769,11.22077615,0.003268069,0.179355097
Sp100,0.80767484,6.864941973,11.19415179,0.003297845,0.179355097
Hspd1,-0.773040103,7.705220778,11.57087445,0.003308177,0.179355097
Errfi1,-0.550636096,8.753809144,11.10761831,0.003396727,0.182367979
Etv6,-0.558124801,8.102801568,11.02253493,0.003497175,0.184315424
Ccr5,0.897591669,6.882392951,11.24055301,0.00349966,0.184315424
Fgl2,0.777825336,6.413471307,10.98484387,0.003542725,0.184823283
Gm10076,-0.722828375,7.69010108,11.06178511,0.00359514,0.184918925
Bmp2,0.790336415,7.262021072,11.06282671,0.003613685,0.184918925
Cfb,1.330952983,4.825666716,10.9022399,0.003644876,0.184918925
Irf1,0.794444387,8.580707866,11.90379149,0.003775187,0.189788954
Zfand5,0.49501278,9.901168126,10.76898821,0.003816634,0.190144031
Zfp36l2,0.574892663,8.097180407,10.67835057,0.003938603,0.194468531
Dst,-0.601904821,8.349766393,10.60440669,0.004041322,0.19665102
Foxn2,-0.798316249,6.246757253,10.59547731,0.004053927,0.19665102
Slfn2,-0.493014774,9.653364144,10.49789878,0.004194555,0.201703393
Ech1,0.828429408,6.860910268,10.49756949,0.004276795,0.20388516
Plaur,-0.748896052,8.025804955,10.78523969,0.004508078,0.213074101
Sdc4,-0.48830727,9.080967363,10.26764773,0.004548406,0.21315837
Gpr160,1.48664102,4.602706904,10.21512664,0.004633697,0.215330625
Sgpp1,0.870844607,6.138615055,10.12105449,0.00479095,0.218315832
Hdac9,0.576762975,7.70918317,10.10390385,0.004820254,0.218315832
Slc11a2,-0.644628321,7.005147453,10.08297799,0.00485628,0.218315832
Cd63,-0.430516779,9.298362789,10.05048305,0.004912819,0.218315832
